GEOID,No_Vehicle_Pct,One_Vehicle_Pct,Renter_Pct,Multi_Unit_Pct,Median_Income,Unemployment_Rate,Poverty_Rate,Mean_Commute_Time,Service_Occupations_Pct,Public_Transit_Pct,Walked_Pct,Total_Workers,Commute_60_Plus_Pct,Total_Disability_Pct,Vision_Difficulty_Pct,Cognitive_Difficulty_Pct,Ambulatory_Difficulty_Pct,Self_Care_Difficulty_Pct
36001000100,19.6,43.9,55.0,31.7,51551.0,16.4,18.7,35.4,23.4,12.1,6.5,769,35.4,23.1,28.0,12.4,0.0,53.8
36001000201,33.2,38.3,69.7,3.0,54013.0,7.4,21.5,20.8,17.7,10.2,1.0,1386,20.8,25.7,24.4,20.4,0.0,0.0
36001000202,33.1,32.7,66.4,5.3,41952.0,1.9,16.5,28.2,20.8,7.0,2.6,1324,28.2,12.8,10.8,10.3,0.0,28.4
36001000301,35.2,40.0,68.6,23.2,42912.0,7.7,33.4,26.2,26.8,5.3,13.0,1038,26.2,16.2,25.5,11.4,0.0,28.2
36001000302,32.3,45.8,70.4,26.6,44730.0,3.4,0.0,20.2,3.7,5.3,0.0,1682,20.2,21.5,23.2,18.7,0.0,9.7
36001000401,10.2,67.3,33.6,26.3,83359.0,5.0,0.0,16.0,1.6,0.0,1.3,1010,16.0,20.5,26.1,0.0,0.0,0.0
36001000403,14.2,31.3,39.4,51.0,111646.0,3.8,5.1,17.5,7.1,3.0,1.5,2475,17.5,13.2,11.9,26.4,0.0,8.2
36001000404,14.4,55.7,100.0,7.1,84740.5,18.4,0.0,15.1,12.7,22.1,1.9,1530,15.1,7.7,7.5,6.1,0.0,8.4
36001000501,41.3,35.4,80.5,15.2,28311.0,12.5,43.3,15.5,17.0,7.1,0.0,1892,15.5,29.8,26.8,39.5,0.0,21.4
36001000502,12.6,37.7,69.4,31.7,57115.0,5.2,4.9,18.7,9.9,7.8,1.7,1693,18.7,9.7,10.9,10.2,0.0,4.0
36001000600,35.3,41.9,80.0,19.6,30368.0,27.4,30.0,19.2,18.4,4.5,7.9,1176,19.2,24.8,26.8,33.9,0.0,8.1
36001000700,42.4,39.3,71.0,18.9,56555.0,8.6,12.7,20.2,10.6,3.8,8.4,1750,20.2,22.6,25.2,20.4,0.0,23.8
36001000800,74.7,21.4,94.8,0.0,84740.5,14.1,46.7,21.6,30.1,11.9,8.1,682,21.6,17.8,51.0,13.6,0.0,0.0
36001001100,37.8,47.8,96.5,0.6,56591.0,2.7,0.0,16.7,8.7,26.9,0.0,1422,16.7,14.4,14.1,16.9,0.0,0.0
36001001400,28.1,56.7,85.6,1.7,64348.0,3.4,0.0,21.5,16.8,26.2,2.5,2774,21.5,13.1,10.4,6.5,0.0,12.2
36001001500,23.0,32.0,82.9,8.1,38365.0,6.2,42.3,21.9,3.0,7.5,2.9,2450,21.9,13.7,18.5,14.1,0.0,3.3
36001001600,15.6,38.9,77.8,21.9,61154.0,3.8,13.0,18.0,7.3,9.3,0.0,2748,18.0,8.2,12.6,6.4,0.0,1.6
36001001700,13.6,43.9,46.0,43.2,87940.0,6.7,7.7,16.0,4.2,4.9,2.1,2264,16.0,10.0,6.5,24.1,53.3,5.3
36001001802,5.5,47.4,43.0,59.0,80266.0,3.3,3.2,16.4,1.7,3.4,0.0,2358,16.4,13.9,15.3,6.5,0.0,12.3
36001001803,8.6,42.0,19.9,77.3,92702.0,1.4,1.6,17.7,1.6,1.6,0.0,1956,17.7,10.7,9.6,9.1,0.0,10.7
36001001804,11.2,37.0,20.9,63.9,105027.0,10.5,6.3,22.1,0.0,0.7,0.7,1609,22.1,20.9,20.3,27.3,0.0,2.3
36001001901,3.6,46.8,23.5,77.3,92784.0,3.3,2.7,14.0,13.4,2.1,1.6,1420,14.0,10.3,8.8,5.0,0.0,6.1
